run,task,trajectory,success,length,revisit_fraction,invalid_fraction,conflict_fraction,future_abs
M10,816f4950-6997-40bc-8374-09fef22437de,8243bef9-019f-43d8-b013-d6c22778d7c8,False,50,0.68,0.0,0.38,0.2461717065887196
M10,816f4950-6997-40bc-8374-09fef22437de,a8a97ea0-295b-4f13-93c4-569404d7b587,True,39,0.6153846153846154,0.0,0.5128205128205128,0.23157945384565215
M10,816f4950-6997-40bc-8374-09fef22437de,fa3565be-50bb-48c9-9bbe-ebb2c1a2aed8,False,50,0.74,0.0,0.5,0.2208670784611185
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,1ae352f0-cf2b-463b-8599-2e1472726b2e,True,5,0.0,0.0,0.0,0.7559388049717434
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,252c4394-3a70-4f1e-8dd4-2ddc32bd6061,True,4,0.0,0.0,0.25,0.02474706065881188
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,4b450a8f-0ecf-402f-9522-dabea620ee7b,True,4,0.0,0.0,0.25,0.02474706065881188
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,ac01e6e8-8c08-477a-8aec-3d3dfb5323c8,True,4,0.0,0.0,0.25,0.02474706065881188
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,b3f177af-98a8-4287-bb24-f199880b8551,True,4,0.0,0.0,0.25,0.02474706065881188
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,e09bc5de-9962-426e-96e6-1e87f191a6c8,True,4,0.0,0.0,0.25,0.02474706065881188
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,e6d3c0a2-182b-4a6d-881c-390c4b77a518,True,4,0.0,0.0,0.25,0.02474706065881188
M10,8d11a44a-7b36-47ee-a873-9b579c3861a7,f2ef98c1-1443-4e88-9ffb-4427b2de5cd5,True,4,0.0,0.0,0.25,0.02474706065881188
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,4ce22e76-c738-42e5-bdf8-0cbabb528141,True,11,0.0,0.0,0.5454545454545454,0.18520250134656394
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,8ec25236-67a3-4982-99c4-ebfde998dea5,True,9,0.1111111111111111,0.0,0.3333333333333333,0.322053437730679
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,926022ea-e5a2-4d3c-a649-205831b7501b,True,12,0.0,0.0,0.16666666666666666,0.1507589088516156
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,9c09a7ef-09f9-426c-9f0b-c4ed2d65ec8e,True,12,0.16666666666666666,0.0,0.3333333333333333,0.20689273585432078
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,a64cdc49-0bbb-44ff-a3f2-8321f41535b8,True,10,0.0,0.0,0.3,0.22114111536582298
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,bfd17ff3-0164-4045-88ff-c81dfd71231a,True,11,0.0,0.0,0.2727272727272727,0.7098220217469036
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,f4016d80-873a-42cb-aa05-ca0ff671b629,True,7,0.0,0.0,0.2857142857142857,0.4652529472560541
M10,a81622c0-1360-4e33-8715-8c9b623b2c71,f5180f8c-e971-464e-83eb-e5d8f55e9d69,True,14,0.2857142857142857,0.0,0.2857142857142857,0.20794634955058774
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,233c9fe2-4ef6-4e3b-8b6a-049cf049a8dc,True,24,0.4583333333333333,0.0,0.4166666666666667,0.12343706795848453
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,4e5963d5-4647-436a-a68b-995b89a7eb30,True,13,0.23076923076923078,0.0,0.46153846153846156,0.17135026914675736
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,72305adf-ffae-409b-aa3e-a705f3b2d159,True,8,0.0,0.0,0.5,0.1077484067062433
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,a492a901-5170-4d8a-9d4a-348ce0c7925e,True,17,0.23529411764705882,0.0,0.47058823529411764,0.11811842666890783
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,c0259599-4e23-4f47-afd4-755712c6c979,True,24,0.4583333333333333,0.0,0.375,0.21299114309113257
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,cc983a3d-1f07-4e79-ab37-1d2741543142,True,9,0.0,0.0,0.4444444444444444,0.13925846713804618
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,d0e65797-644e-4ddc-b2d3-4b8fc8097862,True,9,0.0,0.0,0.6666666666666666,0.12425122028824692
M10,a9e5d14e-1db0-49e7-bf55-c7715af072c2,fc36daa5-9130-4aba-b724-ce04391eafc5,False,50,0.64,0.0,0.42,0.11564557110769264
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,0119a8aa-ee48-4648-b054-32878ee96ffc,True,23,0.34782608695652173,0.0,0.391304347826087,0.16325059026539335
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,0230d8e7-38a9-4d0d-904a-c7a698261204,True,16,0.25,0.0,0.5,0.13386410591774928
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,0710b91f-aa28-4c15-9ba0-d2c7bbc5faef,False,50,0.58,0.0,0.48,0.12388754142955928
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,0e9a8010-80dc-426e-9c58-ffc9e6cf3f14,True,12,0.0,0.0,0.4166666666666667,0.17718484396247577
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,52d25fba-623f-4615-bc9c-bc0206a3ccb7,True,28,0.4642857142857143,0.03571428571428571,0.5357142857142857,0.2078963356386416
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,72c10539-dec3-488d-b2dc-de8e2cd85938,True,37,0.32432432432432434,0.0,0.4594594594594595,0.24159966643735897
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,a1cce75b-c8b4-476c-beb7-d1c29442e9fa,False,50,0.48,0.02,0.44,0.1689386480159743
M10,cdfbe9a6-f438-4dd4-9810-d3b520eefdc5,c3fd1535-b0cd-46c3-b88c-78933b64fed5,False,50,0.44,0.0,0.42,0.17599662552104925
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,021ad763-b69b-47a8-abf4-592085cc4b88,True,4,0.0,0.0,0.5,0.6867497841579968
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,1917f43e-7ee4-4269-97f1-a3d7a45ce381,True,6,0.16666666666666666,0.0,0.3333333333333333,0.7021890435704846
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,491d695c-fe60-4178-a412-0953c4d9c1b6,True,6,0.16666666666666666,0.0,0.3333333333333333,0.7021890435704846
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,593ab444-53da-4f0a-863e-1b7d22a0144c,True,4,0.0,0.0,0.5,0.6867497841579968
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,729499b2-9d95-4836-9f30-b863f155737c,True,5,0.0,0.0,0.0,0.7114069738040765
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,abc0e5c0-2adb-43f5-8ca4-464f00c4cb87,True,4,0.0,0.0,0.5,0.6867497841580004
