run,target,subset,variant,rows,tasks,mse,delta_mse_vs_context,delta_ci_low,delta_ci_high
M10,Z,all,context_k2,2610,16,3.9784106236896943,0.0,0.0,0.0
M10,Z,all,hidden_only_k2,2610,16,3.9245145871810845,-0.05389603650861002,-0.21243774232363538,0.16020222216798008
M10,Z,all,uniform_k2,2610,16,4.330489947242089,0.35207932355239424,-0.03668289809113226,0.7527310125741485
M10,Z,all,context_k4,2610,16,4.032573911717447,0.05416328802775177,-0.04061221945340174,0.1433052537510787
M10,Z,all,context_full,2610,16,4.216181891615863,0.2377712679261684,0.09298845954983123,0.3903521606601755
M10,Z,all,context_fixed05,2610,16,4.0447730387965555,0.06636241510686071,-0.08141309905654485,0.20982676981436757
M10,Z,exact,context_k2,2466,16,3.9546295877983377,0.0,0.0,0.0
M10,Z,exact,hidden_only_k2,2466,16,3.919362406342003,-0.0352671814563348,-0.18808603557821896,0.17560463346826055
M10,Z,exact,uniform_k2,2466,16,4.301272339467452,0.34664275166911496,-0.08357060797849121,0.7791226122299999
M10,Z,exact,context_k4,2466,16,4.007387465643049,0.05275787784471113,-0.05386667142475133,0.15151716363142817
M10,Z,exact,context_full,2466,16,4.2143788756429466,0.2597492878446086,0.10019091686348544,0.43056994495142326
M10,Z,exact,context_fixed05,2466,16,4.014474940945623,0.05984535314728454,-0.11148736624770411,0.214768549276516
M10,Z,exact_revisit,context_k2,1160,13,5.246437866398452,0.0,0.0,0.0
M10,Z,exact_revisit,hidden_only_k2,1160,13,8.567662853748264,3.321224987349811,-0.37039433084653645,10.375624342601068
M10,Z,exact_revisit,uniform_k2,1160,13,6.672030884720679,1.4255930183222274,0.647090770604167,2.4035426101197133
M10,Z,exact_revisit,context_k4,1160,13,5.332027886353681,0.08559001995523002,-0.03971927276379964,0.2094331594657745
M10,Z,exact_revisit,context_full,1160,13,5.474883001053891,0.2284451346554386,-0.08310772731542979,0.6952962597373107
M10,Z,exact_revisit,context_fixed05,1160,13,5.5778237654699785,0.33138589907152666,0.17824229424508564,0.5188767586084667
M10,Z,exact_first_visit,context_k2,1306,16,3.7577332905740977,0.0,0.0,0.0
M10,Z,exact_first_visit,hidden_only_k2,1306,16,3.7350950205005775,-0.0226382700735201,-0.12945520192101176,0.09600281702052442
M10,Z,exact_first_visit,uniform_k2,1306,16,3.9400836676685334,0.18235037709443594,-0.21810840551932237,0.6445878920634001
M10,Z,exact_first_visit,context_k4,1306,16,3.8453620960853883,0.08762880551129094,-0.043639039416247465,0.21733896943722483
M10,Z,exact_first_visit,context_full,1306,16,4.0082028786260775,0.2504695880519793,0.06338034278193158,0.4419700039596983
M10,Z,exact_first_visit,context_fixed05,1306,16,3.7916667557421366,0.03393346516803846,-0.14074129504967986,0.19647318542829556
M10,Z,task_fallback,context_k2,144,15,8.242273690526666,0.0,0.0,0.0
M10,Z,task_fallback,hidden_only_k2,144,15,7.5850162686153935,-0.6572574219112736,-1.338532299657362,-0.12697522517916765
M10,Z,task_fallback,uniform_k2,144,15,7.404835811050666,-0.8374378794760009,-2.88909932922617,0.47759140911547154
M10,Z,task_fallback,context_k4,144,15,8.242273690526666,0.0,0.0,0.0
M10,Z,task_fallback,context_full,144,15,8.242273690526666,0.0,0.0,0.0
M10,Z,task_fallback,context_fixed05,144,15,8.242273690526666,0.0,0.0,0.0
M11,Y,all,context_k2,691,16,7.610622113465586,0.0,0.0,0.0
M11,Y,all,hidden_only_k2,691,16,7.696023160065744,0.08540104660015732,-0.1224364736169136,0.3229663960521505
M11,Y,all,uniform_k2,691,16,7.973526180696822,0.36290406723123614,-0.04205970875924674,0.8134930411054072
M11,Y,all,context_k4,691,16,7.982707262469197,0.37208514900361056,0.13673985358701365,0.6469233338938898
M11,Y,all,context_full,691,16,7.122966948327887,-0.4876551651376996,-0.9704098741974183,-0.08667710084468801
M11,Y,all,context_fixed05,691,16,7.6692770927378655,0.05865497927227974,-0.14982709774208305,0.2562545986920458
M11,Y,exact,context_k2,580,16,6.90676587814688,0.0,0.0,0.0
M11,Y,exact,hidden_only_k2,580,16,7.0459757125294225,0.1392098343825427,-0.0329446469876036,0.37139379899728886
M11,Y,exact,uniform_k2,580,16,7.339441705157722,0.4326758270108429,0.13864784489541426,0.8132926896732878
M11,Y,exact,context_k4,580,16,7.414531127633914,0.5077652494870353,0.19446420561906627,0.8612768736508968
M11,Y,exact,context_full,580,16,6.213158451285441,-0.6936074268614387,-1.3122113550017112,-0.1911158302787202
M11,Y,exact,context_fixed05,580,16,7.063813266795706,0.15704738864882628,-0.14885439532849537,0.47334239897796726
M11,Y,exact_revisit,context_k2,287,16,4.5973007931030665,0.0,0.0,0.0
M11,Y,exact_revisit,hidden_only_k2,287,16,4.807455752073576,0.21015495897051084,-0.062074669566694815,0.5714387668977426
M11,Y,exact_revisit,uniform_k2,287,16,5.441791344923393,0.8444905518203281,0.3137636854142214,1.4570524165450096
M11,Y,exact_revisit,context_k4,287,16,5.263900447198385,0.6665996540953185,0.23861663465833846,1.158312577706636
M11,Y,exact_revisit,context_full,287,16,3.784002730564474,-0.8132980625385923,-1.6851224137142244,-0.09606323124739322
M11,Y,exact_revisit,context_fixed05,287,16,4.71059633273882,0.1132955396357547,-0.31431849242874144,0.5410957380567392
M11,Y,exact_first_visit,context_k2,293,16,7.134995116999576,0.0,0.0,0.0
M11,Y,exact_first_visit,hidden_only_k2,293,16,7.143557452092496,0.008562335092920212,-0.027303624404911027,0.04627294636722618
M11,Y,exact_first_visit,uniform_k2,293,16,7.144264780356989,0.00926966335741318,-0.16940656062517565,0.23469816003231644
M11,Y,exact_first_visit,context_k4,293,16,7.445665683316882,0.3106705663173063,0.12160860458302876,0.5358259873642153
