run,period,variant,weight_mean,weight_nonterminal_mean,weight_terminal_mean,future_mass_retention,terminal_mass_share,nonterminal_mass_retention,task_mean_abs,frozen_norm_noise_fraction,lone_nonterminal_rows,lone_nonterminal_future_negative_rows,lone_nonterminal_combined_negative_rows,history_sign_flip_fraction
M11,1-30,row_snr_centered,,,,0.6820529861108556,0.4976625431239287,0.6198207721067821,7.141783933354237e-18,,937,937,0,0.002930302039986702
M11,1-30,matched_task_scale,0.2732223626085815,0.27250903857473247,0.2793787438789087,0.5978897167326683,0.44951252328332264,0.5958349504778891,5.148535207699747e-18,0.35055567557586836,937,937,0,0.0028827587879991737
M11,1-30,task_nonterminal_snr,0.23337689823778934,0.23280587607049075,0.23845409017921546,0.512299323861296,0.43945320969937934,0.519505995782956,4.389579818739014e-18,0.28020247223951883,937,919,0,0.0027630950924384997
M11,31-75,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695,0,0,0.0
M11,31-75,fixed_025,0.25,0.25,0.25,0.25,0.48256656162796663,0.25,4.349825510118477e-18,0.0625,695,695,0,0.0035440607603331275
M11,31-75,fixed_1,1.0,1.0,1.0,1.0,0.48256656162796663,1.0,1.739930204047391e-17,1.0,695,695,0,0.014671518563734175
M11,31-75,row_snr,0.2869111159444305,0.25931068259630646,0.48063172224197653,0.6686509884373811,0.5784726707417869,0.5442774505545921,0.04090853854360864,0.40172806179879555,695,0,0,0.007302107041384636
M11,31-75,row_snr_centered,,,,0.7218424941629462,0.5374971816572811,0.6450100280643213,1.2300702473042745e-17,,695,695,0,0.009183059756503735
M11,31-75,matched_task_scale,0.4734180550393329,0.47195569634742546,0.48415191459360485,0.6686509884373811,0.48304118012369085,0.6680659604317483,1.2539746285389775e-17,0.43570170878777764,695,695,0,0.009189264272688485
M11,31-75,task_nonterminal_snr,0.42448570487987036,0.4232262172864357,0.43369944879765177,0.6123080600199244,0.4744017625516386,0.621922210835154,1.1971996745929033e-17,0.38685753183973,695,649,0,0.00907907479940852
M11,100-150,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,0,0,0.0
M11,100-150,fixed_025,0.25,0.25,0.25,0.25,0.48163095155789104,0.25,1.4831755442517383e-17,0.0625,160,160,0,0.029399401028681185
M11,100-150,fixed_1,1.0,1.0,1.0,1.0,0.48163095155789104,1.0,5.932702177006953e-17,1.0,160,160,0,0.0868661791631637
M11,100-150,row_snr,0.5379268869263433,0.5199193297267232,0.6186568180307198,0.8167392546592707,0.5241638279456499,0.750306925374279,0.03472303028937024,0.4693308837658125,160,0,0,0.08256468649718222
M11,100-150,row_snr_centered,,,,0.8510373376491759,0.49905315534047345,0.8222940314054685,1.2311252542882435e-17,,160,160,0,0.08349751389110682
M11,100-150,matched_task_scale,0.6057131041723357,0.604535209039897,0.6111283961960986,0.8167392546592707,0.48009910906227,0.8192063134786775,5.4234907274439097e-17,0.5308445226548545,160,160,0,0.08371648818226055
M11,100-150,task_nonterminal_snr,0.5959311292716561,0.5943101719973507,0.6036352709510915,0.8233206262805909,0.4739879649530526,0.8352147843037964,5.610740513370253e-17,0.5638373862265572,160,138,0,0.08412429940220234
M11,100-120,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0,0,0.0
M11,100-120,fixed_025,0.25,0.25,0.25,0.25,0.4811356707019753,0.25,1.2904603196104555e-17,0.0625,97,97,0,0.023841021260020745
M11,100-120,fixed_1,1.0,1.0,1.0,1.0,0.4811356707019753,1.0,5.161841278441822e-17,1.0,97,97,0,0.06960527308906926
M11,100-120,row_snr,0.48598181785539324,0.46669832740355555,0.5763625191154694,0.7903634988948589,0.5321737365889624,0.7129092096618606,0.03700431203529658,0.44842680797310225,97,0,0,0.06402527473608588
M11,100-120,row_snr_centered,,,,0.8340134654524084,0.5017721936710072,0.8003965152472048,1.159492342757403e-17,,97,97,0,0.06610639330421056
M11,100-120,matched_task_scale,0.5727155429547729,0.5716840333331416,0.5778616351400068,0.7903634988948589,0.47979031805202266,0.7923805188044829,4.612620300427839e-17,0.501512251530684,97,97,0,0.0660372917125051
M11,100-120,task_nonterminal_snr,0.5526602521225371,0.5511820886699557,0.5603590497181619,0.7870004085330461,0.47257875237907754,0.7995085732645822,4.799193324573301e-17,0.5283676181922148,97,88,0,0.06625431527656735
